name,fide_id,birth_year,gender,federation,fide_title,rating_standard,rating_rapid,rating_blitz
Atabayev Saparmyrat,14000571,1999,Male,Turkmenistan,Grandmaster,2494,2361.0,2478
Tin Jingyao,5804418,2000,Male,Singapore,Grandmaster,2583,2504.0,2475
Warmerdam Max,1048104,2000,Male,Netherlands,Grandmaster,2577,2535.0,2542
Garcia Pantoja Roberto,3509265,1992,Male,Colombia,Grandmaster,2502,2506.0,2545
Brkic Ante,14506688,1988,Male,Croatia,Grandmaster,2579,2537.0,2564
Parligras Mircea-Emilian,1204297,1980,Male,Romania,Grandmaster,2510,2472.0,2478
Lupulescu Constantin,1207822,1984,Male,Romania,Grandmaster,2592,2518.0,2554
Ghazarian Kirk,30908604,2006,Male,United States of America,Grandmaster,2520,,2377
Bartel Mateusz,1112635,1985,Male,Poland,Grandmaster,2575,2524.0,2499
Galaviz Medina Sion Radamantys,5123119,2005,Male,Mexico,Grandmaster,2512,2420.0,2405
Jobava Baadur,13601520,1983,Male,Georgia,Grandmaster,2577,2646.0,2649
Peng Xiongjian,8610550,2000,Male,China,Grandmaster,2520,2392.0,2376
Ganguly Surya Shekhar,5002150,1983,Male,India,Grandmaster,2559,2585.0,2486
Samadov Read,13417444,2007,Male,Azerbaijan,International Master,2513,2469.0,2456
Kantor Gergely,751499,1999,Male,Hungary,Grandmaster,2546,2531.0,2511
Makhnev Denis,13707647,2000,Male,Kazakhstan,Grandmaster,2525,2522.0,2532
Piorun Kacper,1130420,1991,Male,Poland,Grandmaster,2557,2504.0,2547
Velten Paul,681091,1993,Male,France,Grandmaster,2530,2562.0,2429
Bogner Sebastian,4692055,1991,Male,Switzerland,Grandmaster,2552,2552.0,2495
Maksimovic Bojan,14408120,2002,Male,Serbia,Grandmaster,2532,2572.0,2493
Subelj Jan,14618583,2004,Male,Slovenia,Grandmaster,2532,2536.0,2492
Petrov Martin,2911086,2000,Male,Bulgaria,Grandmaster,2548,2525.0,2422
Nogerbek Kazybek,13710427,2004,Male,Kazakhstan,Grandmaster,2538,2545.0,2503
Erdogmus Yagiz Kaan,44599790,2011,Male,Turkiye,Grandmaster,2651,2444.0,2497
Li Yiheng,6006760,2012,Male,"Hong Kong, China",Candidate Master,1993,1942.0,1829
Rodshtein Maxim,2806851,1989,Male,Israel,Grandmaster,2611,2600.0,2509
Ndahangwapo Heskiel,15202020,2000,Male,Namibia,FIDE Master,2093,1946.0,1994
Adams Michael,400041,1971,Male,England,Grandmaster,2635,2630.0,2690
Damaj Mohammed,11501731,2001,Male,Palestine,Candidate Master,2112,2081.0,2034
Martinez Alcantara Jose Eduardo,3805662,1999,Male,Mexico,Grandmaster,2644,2649.0,2696
Amdouni Zoubaier,5500419,1987,Male,Tunisia,FIDE Master,2186,2181.0,2132
Kollars Dmitrij,12909572,1999,Male,Germany,Grandmaster,2628,2557.0,2565
Boulrens Ala Eddine,7907559,2000,Male,Algeria,,2214,2153.0,2123
Donchenko Alexander,24603295,1998,Male,Germany,Grandmaster,2641,2577.0,2575
Barrish Daniel,14304600,2000,Male,South Africa,FIDE Master,2284,2162.0,2183
Vokhidov Shamsiddin,14204223,2002,Male,Uzbekistan,Grandmaster,2640,2519.0,2578
Husbands Orlando,11101644,1997,Male,Barbados,International Master,2291,2248.0,2231
Gurel Ediz,44507356,2008,Male,Turkiye,Grandmaster,2648,2502.0,2503
Elbilia Jacques,9000127,1971,Male,Morocco,FIDE Master,2332,2307.0,2353
Hovhannisyan Robert,13302507,1991,Male,Armenia,Grandmaster,2629,2522.0,2571
Silva David,10101314,1998,Male,Angola,International Master,2347,2389.0,2382
Tari Aryan,1510045,1999,Male,Norway,Grandmaster,2631,2554.0,2590
Akhmedinov Satbek,13714287,2006,Male,Kazakhstan,International Master,2372,2290.0,2387
Amin Bassem,10601457,1988,Male,Egypt,Grandmaster,2628,2593.0,2589
Orozbaev Eldiyar,13802240,2006,Male,Kyrgyzstan,International Master,2375,2405.0,2409
Bacrot Etienne,605506,1983,Male,France,Grandmaster,2627,2641.0,2589
Cordoba Roa Angel Gabriel,3957624,2006,Male,Colombia,International Master,2360,2318.0,2364
Martirosyan Haik M.,13306553,2000,Male,Armenia,Grandmaster,2625,2609.0,2679
Liyanage Ranindu Dilshan,9915834,2003,Male,Sri Lanka,International Master,2393,2238.0,2285
Yuffa Daniil,24131423,1997,Male,Spain,Grandmaster,2618,2492.0,2532
Wang Shixu B,8610665,2001,Male,China,International Master,2413,2391.0,2345
Salem A.R. Saleh,9301348,1993,Male,United Arab Emirates,Grandmaster,2620,2621.0,2651
Schnaider Ilan,169013,2011,Male,Argentina,International Master,2401,2366.0,2374
Narayanan S L,5058422,1998,Male,India,Grandmaster,2617,2579.0,2609
Amartuvshin Ganzorig,4902548,2005,Male,Mongolia,International Master,2415,2424.0,2310
Ivanchuk Vasyl,14100010,1969,Male,Ukraine,Grandmaster,2616,2630.0,2631
Laohawirapap Prin,6205003,2006,Male,Thailand,International Master,2417,2315.0,2178
Kourkoulos-Arditis Stamatis,4221990,1998,Male,Greece,Grandmaster,2585,2451.0,2448
Svane Rasmus,4657101,1997,Male,Germany,Grandmaster,2609,2619.0,2640
Quizon Daniel,5217911,2004,Male,Philippines,Grandmaster,2420,2346.0,2415
Najer Evgeniy,4118987,1977,Male,FIDE,Grandmaster,2610,2568.0,2517
Banh Gia Huy,12424714,2009,Male,Vietnam,International Master,2440,2308.0,2191
Henriquez Villagra Cristobal,3409350,1996,Male,Chile,Grandmaster,2605,2588.0,2531
Salinas Herrera Pablo,3407128,1994,Male,Chile,Grandmaster,2473,2446.0,2540
Idani Pouya,12510130,1995,Male,Iran,Grandmaster,2601,2560.0,2564
Berdayes Ason Dylan Isidro,3516016,1998,Male,Cuba,Grandmaster,2453,2470.0,2469
Zemlyanskii Ivan,24249971,2010,Male,Russia,Grandmaster,2585,2539.0,2570
Neelash Saha,5094160,2002,Male,India,International Master,2466,2377.0,2381
Cheng Bobby,4300033,1997,Male,Australia,Grandmaster,2583,2507.0,2481
Ansat Aldiyar,13715658,2008,Male,Kazakhstan,International Master,2476,2394.0,2492
Yilmaz Mustafa,6302718,1992,Male,Turkiye,Grandmaster,2594,2554.0,2518
Gusain Himal,5033861,1993,Male,India,International Master,2478,2179.0,2247
Bai Jinshi,8602280,1999,Male,China,Grandmaster,2595,2575.0,2538
Grigoryan Karen H.,13301004,1995,Male,Armenia,Grandmaster,2481,2628.0,2642
Huschenbeth Niclas,24604747,1992,Male,Germany,Grandmaster,2587,2562.0,2560
Suyarov Mukhammadzokhid,14210495,2009,Male,Uzbekistan,International Master,2487,2410.0,2492
Motylev Alexander,4121830,1979,Male,Romania,Grandmaster,2586,2603.0,2524
Suleymenov Alisher,13707833,2000,Male,Kazakhstan,Grandmaster,2491,2424.0,2317
Nesterov Arseniy,24198455,2003,Male,FIDE,Grandmaster,2595,2540.0,2531
Lashkin Jegor,13907808,2003,Male,Moldova,Grandmaster,2492,2353.0,2421
Lalit Babu M R,5024595,1993,Male,India,Grandmaster,2506,2568.0,2551
Karthik Venkataraman,25006479,1999,Male,India,Grandmaster,2576,2457.0,2472
Oro Faustino,20000197,2013,Male,Argentina,International Master,2495,2487.0,2491
Fier Alexandr,2107139,1988,Male,Brazil,Grandmaster,2553,2545.0,2591
Blohberger Felix,1632051,2002,Male,Austria,Grandmaster,2510,2440.0,2430
Petrov Nikita,4101286,1996,Male,Montenegro,Grandmaster,2582,2543.0,2584
Aronyak Ghosh,25072846,2003,Male,India,International Master,2520,2430.0,2439
Supi Luis Paulo,2106388,1996,Male,Brazil,Grandmaster,2575,2536.0,2512
Cardoso Cardoso Jose Gabriel,4430492,2004,Male,Colombia,Grandmaster,2527,2417.0,2480
Ghosh Diptayan,5045207,1998,Male,India,Grandmaster,2573,2460.0,2534
Ahmadzada Ahmad,13413007,2004,Male,Azerbaijan,Grandmaster,2530,2425.0,2389
Lodici Lorenzo,884189,2000,Male,Italy,Grandmaster,2572,2481.0,2499
Rodrigue-Lemieux Shawn,2620049,2004,Male,Canada,Grandmaster,2521,2478.0,2506
Flores Diego,108049,1982,Male,Argentina,Grandmaster,2563,2581.0,2577
Lobanov Sergei,24183750,2001,Male,FIDE,Grandmaster,2526,2456.0,2500
Kovalev Vladislav,13504398,1994,Male,FIDE,Grandmaster,2557,2515.0,2553
Stremavicius Titas,12804444,1998,Male,Lithuania,Grandmaster,2544,2529.0,2381
Can Emre,6302181,1990,Male,Turkiye,Grandmaster,2541,2530.0,2502
Kuybokarov Temur,14203049,2000,Male,Australia,Grandmaster,2535,2458.0,2458
Mekhitarian Krikor Sevag,2107660,1986,Male,Brazil,Grandmaster,2545,2581.0,2570
Raja Rithvik R,35007394,2004,Male,India,Grandmaster,2541,2421.0,2414
Gukesh D,46616543,2006,Male,India,Grandmaster,2763,2692.0,2628
Praggnanandhaa R,25059530,2005,Male,India,Grandmaster,2768,2679.0,2699
So Wesley,5202213,1993,Male,United States of America,Grandmaster,2764,2702.0,2790
Wei Yi,8603405,1999,Male,China,Grandmaster,2752,2758.0,2695
Mamedyarov Shakhriyar,13401319,1985,Male,Azerbaijan,Grandmaster,2742,2701.0,2656
Vachier-Lagrave Maxime,623539,1990,Male,France,Grandmaster,2740,2741.0,2746
Le Quang Liem,12401137,1991,Male,Vietnam,Grandmaster,2729,2650.0,2703
Aronian Levon,13300474,1982,Male,United States of America,Grandmaster,2728,2756.0,2774
Yu Yangyi,8603820,1994,Male,China,Grandmaster,2726,2696.0,2706
Vidit Santosh Gujrathi,5029465,1994,Male,India,Grandmaster,2715,2657.0,2671
Liang Awonder,2056437,2003,Male,United States of America,Grandmaster,2701,2513.0,2555
Sevian Samuel,2040506,2000,Male,United States of America,Grandmaster,2701,2654.0,2726
Van Foreest Jorden,1039784,1999,Male,Netherlands,Grandmaster,2693,2637.0,2646
Esipenko Andrey,24175439,2002,Male,Russia,Grandmaster,2681,2626.0,2659
Bluebaum Matthias,24651516,1997,Male,Germany,Grandmaster,2680,2587.0,2634
Alekseenko Kirill,4135539,1997,Male,Austria,Grandmaster,2666,2611.0,2620
Sargsyan Shant,13306766,2002,Male,Armenia,Grandmaster,2664,2624.0,2583
Murzin Volodar,44155573,2006,Male,FIDE,Grandmaster,2655,2642.0,2647
Nguyen Thai Dai Van,358878,2001,Male,Czech Republic,Grandmaster,2652,2525.0,2563
Saric Ivan,14508150,1990,Male,Croatia,Grandmaster,2660,2595.0,2600
Oparin Grigoriy,24125890,1997,Male,United States of America,Grandmaster,2660,2612.0,2676
Navara David,309095,1985,Male,Czech Republic,Grandmaster,2648,2602.0,2635
Deac Bogdan-Daniel,1226380,2001,Male,Romania,Grandmaster,2655,2630.0,2657
Wojtaszek Radoslaw,1118358,1987,Male,Poland,Grandmaster,2660,2653.0,2605
Theodorou Nikolas,4262875,2000,Male,Greece,Grandmaster,2656,2576.0,2564
Erigaisi Arjun,35009192,2003,Male,India,Grandmaster,2769,2708.0,2749
Giri Anish,24116068,1994,Male,Netherlands,Grandmaster,2769,2685.0,2701
Keymer Vincent,12940690,2004,Male,Germany,Grandmaster,2773,2651.0,2599
Abdusattorov Nodirbek,14204118,2004,Male,Uzbekistan,Grandmaster,2750,2717.0,2768
Niemann Hans Moke,2093596,2003,Male,United States of America,Grandmaster,2729,2621.0,2734
Nepomniachtchi Ian,4168119,1990,Male,Russia,Grandmaster,2732,2762.0,2801
Rapport Richard,738590,1996,Male,Hungary,Grandmaster,2740,2716.0,2629
Sindarov Javokhir,14205483,2005,Male,Uzbekistan,Grandmaster,2721,2688.0,2632
Fedoseev Vladimir,24130737,1995,Male,Slovenia,Grandmaster,2717,2740.0,2752
Aravindh Chithambaram VR.,5072786,1999,Male,India,Grandmaster,2712,2590.0,2625
Nihal Sarin,25092340,2004,Male,India,Grandmaster,2704,2688.0,2681
Harikrishna Pentala,5007003,1986,Male,India,Grandmaster,2690,2621.0,2631
Maghsoodloo Parham,12539929,2000,Male,Iran,Grandmaster,2701,2657.0,2699
Yakubboev Nodirbek,14203987,2002,Male,Uzbekistan,Grandmaster,2689,2550.0,2564
Dubov Daniil,24126055,1996,Male,Russia,Grandmaster,2674,2690.0,2795
Bu Xiangzhi,8601445,1985,Male,China,Grandmaster,2667,2593.0,2719
Leko Peter,703303,1979,Male,Hungary,Grandmaster,2660,2710.0,2738
Robson Ray,2023970,1994,Male,United States of America,Grandmaster,2657,2652.0,2632
Karthikeyan Murali,5074452,1999,Male,India,Grandmaster,2662,2520.0,2525
Sarana Alexey,24133795,2000,Male,Serbia,Grandmaster,2675,2631.0,2703
Christiansen Johan-Sebastian,1512668,1998,Male,Norway,Grandmaster,2661,2469.0,2588
Mamedov Rauf,13401653,1988,Male,Azerbaijan,Grandmaster,2646,2610.0,2610
Shankland Sam,2004887,1991,Male,United States of America,Grandmaster,2649,2611.0,2613
Vitiugov Nikita,4152956,1987,Male,England,Grandmaster,2657,2611.0,2596
Mishra Abhimanyu,30920019,2009,Male,United States of America,Grandmaster,2642,2600.0,2508
